,amount_req,app_date,loan_title,risk_score,dti,zip_code,state,emp_len,pol_code,gross_income
35,5000,1/1/2016,other,300.0,0.9675,490xx,MI,0,0,5167.96
36,7000,1/1/2016,debt_consolidation,300.0,0.03,785xx,TX,0,0,233333.33
37,6900,1/1/2016,debt_consolidation,300.0,0.6568,673xx,KS,0,0,10505.48
38,1000,1/1/2016,other,300.0,0.001,210xx,MD,0,0,1000000.0
39,35000,1/1/2016,credit_card,300.0,3.6220999999999997,913xx,CA,0,0,9662.9
40,15000,1/1/2016,credit_card,300.0,0.4239,891xx,NV,5 years,0,35385.7
41,20000,1/1/2016,other,300.0,0.0,950xx,CA,0,0,0.0
42,10000,1/1/2016,Debt consolidation,300.0,0.051500000000000004,550xx,MN,7 years,0,194174.76
43,5500,1/1/2016,debt_consolidation,681.0,0.1867,799xx,TX,0,0,29459.03
44,6000,1/1/2016,debt_consolidation,582.0,0.22719999999999999,287xx,NC,0,0,26408.45
45,35000,1/1/2016,house,300.0,0.295,133xx,NY,5 years,0,118644.07
46,5000,1/1/2016,debt_consolidation,300.0,0.4715,347xx,FL,0,0,10604.45
47,5000,1/1/2016,debt_consolidation,300.0,0.0333,363xx,AL,0,0,150150.15
48,20000,1/1/2016,home_improvement,300.0,0.4147,290xx,SC,0,0,48227.63
49,15000,1/1/2016,other,300.0,0.5173,137xx,NY,0,0,28996.71
50,15000,1/1/2016,debt_consolidation,300.0,0.44409999999999994,923xx,CA,5 years,0,33776.18
51,1500,1/1/2016,debt_consolidation,300.0,0.16899999999999998,925xx,CA,0,0,8875.74
52,8000,1/1/2016,debt_consolidation,619.0,0.13470000000000001,920xx,CA,0,0,59391.24
53,4500,1/1/2016,debt_consolidation,664.0,0.2579,442xx,OH,0,0,17448.62
54,5000,1/1/2016,home_improvement,300.0,-0.01,905xx,CA,0,0,-500000.0
55,4000,1/1/2016,debt_consolidation,300.0,0.39289999999999997,773xx,TX,0,0,10180.71
56,3000,1/1/2016,debt_consolidation,300.0,0.1182,902xx,CA,0,0,25380.71
57,3200,1/1/2016,moving,516.0,0.2195,913xx,CA,0,0,14578.59
58,3000,1/1/2016,other,300.0,0.0,882xx,NM,5 years,0,0.0
59,1500,1/1/2016,debt_consolidation,641.0,0.2137,544xx,WI,0,0,7019.19
60,35000,1/1/2016,debt_consolidation,300.0,0.5035000000000001,278xx,NC,0,0,69513.41
61,8000,1/1/2016,debt_consolidation,747.0,0.5329,497xx,MI,0,0,15012.2
62,5000,1/1/2016,house,300.0,0.030600000000000002,723xx,AR,0,0,163398.69
63,1500,1/1/2016,debt_consolidation,300.0,0.0,841xx,UT,0,0,0.0
64,3000,1/1/2016,major_purchase,300.0,-0.01,112xx,NY,0,0,-300000.0
65,10000,1/1/2016,debt_consolidation,300.0,0.12179999999999999,922xx,CA,0,0,82101.81
66,6500,1/1/2016,small_business,513.0,0.0,850xx,AZ,0,0,0.0
67,15000,1/1/2016,small_business,300.0,-0.01,890xx,NV,0,0,-1500000.0
68,30000,1/1/2016,debt_consolidation,300.0,0.2767,856xx,AZ,0,0,108420.67
69,5000,1/1/2016,debt_consolidation,300.0,0.2804,279xx,NC,0,0,17831.67
70,25000,1/1/2016,home_improvement,300.0,0.1242,441xx,OH,5 years,0,201288.24
71,10000,1/1/2016,debt_consolidation,300.0,0.4951,465xx,IN,0,0,20197.94
72,10000,1/1/2016,debt_consolidation,659.0,0.5347999999999999,756xx,TX,0,0,18698.58
73,15000,1/1/2016,debt_consolidation,300.0,0.195,890xx,NV,0,0,76923.08
74,1000,1/1/2016,debt_consolidation,300.0,0.027200000000000002,956xx,CA,0,0,36764.71
75,35000,1/1/2016,small_business,588.0,0.1067,902xx,CA,0,0,328022.49
76,5000,1/1/2016,moving,300.0,0.004,972xx,OR,5 years,0,1250000.0
77,30000,1/1/2016,other,300.0,0.0055000000000000005,021xx,MA,0,0,5454545.45
78,2500,1/1/2016,debt_consolidation,300.0,0.053099999999999994,462xx,IN,0,0,47080.98
79,8000,1/1/2016,car,635.0,17.399,936xx,CA,0,0,459.8
80,8000,1/1/2016,debt_consolidation,723.0,0.2749,486xx,MI,0,0,29101.49
81,15000,1/1/2016,debt_consolidation,300.0,0.3127,765xx,TX,0,0,47969.3
82,5000,1/1/2016,debt_consolidation,605.0,0.7796,280xx,NC,0,0,6413.55
83,23000,1/1/2016,credit_card,300.0,0.2021,970xx,OR,0,0,113805.05
84,3000,1/1/2016,debt_consolidation,300.0,0.5797,958xx,CA,0,0,5175.09
85,1000,1/1/2016,small_business,300.0,1.9764,294xx,SC,0,0,505.97
86,3000,1/1/2016,debt_consolidation,300.0,0.06,957xx,CA,0,0,50000.0
87,9000,1/1/2016,debt_consolidation,300.0,0.7683,628xx,IL,0,0,11714.17
88,10000,1/1/2016,debt_consolidation,300.0,0.16260000000000002,982xx,WA,0,0,61500.62
89,7000,1/1/2016,credit_card,300.0,0.1471,378xx,TN,0,0,47586.68
90,10000,1/1/2016,debt_consolidation,678.0,0.5072,714xx,LA,0,0,19716.09
91,8000,1/1/2016,debt_consolidation,300.0,0.44439999999999996,891xx,NV,0,0,18001.8
92,1500,1/1/2016,other,300.0,0.07629999999999999,387xx,MS,0,0,19659.24
93,3000,1/1/2016,other,635.0,0.31989999999999996,984xx,WA,0,0,9377.93
94,35000,1/1/2016,medical,300.0,0.0617,791xx,TX,0,0,567260.94
95,1000,1/1/2016,other,300.0,0.1204,108xx,NY,0,0,8305.65
96,11000,1/1/2016,debt_consolidation,300.0,0.2944,280xx,NC,5 years,0,37364.13
97,14000,1/1/2016,credit_card,300.0,0.1959,970xx,OR,0,0,71465.03
98,10000,1/1/2016,other,656.0,0.1376,201xx,VA,0,0,72674.42
99,5000,1/1/2016,other,300.0,0.1475,787xx,TX,0,0,33898.31
100,10500,1/1/2016,Other,300.0,0.095,740xx,OK,8 years,0,110526.32
101,5000,1/1/2016,moving,300.0,0.0273,985xx,WA,0,0,183150.18
102,5500,1/1/2016,debt_consolidation,300.0,0.5526,940xx,CA,0,0,9952.95
103,2000,1/1/2016,other,300.0,0.2446,937xx,CA,5 years,0,8176.61
104,7500,1/1/2016,moving,300.0,0.0973,890xx,NV,5 years,0,77081.19
105,25000,1/1/2016,house,300.0,0.0737,378xx,TN,0,0,339213.03
106,18000,1/1/2016,credit_card,300.0,0.16079999999999997,678xx,KS,5 years,0,111940.3
107,4000,1/1/2016,debt_consolidation,300.0,0.15380000000000002,674xx,KS,0,0,26007.8
108,10000,1/1/2016,moving,619.0,0.015,112xx,NY,0,0,666666.67
109,20000,1/1/2016,home_improvement,300.0,0.4052,764xx,TX,5 years,0,49358.34
110,10000,1/1/2016,debt_consolidation,300.0,0.056900000000000006,111xx,NY,0,0,175746.92
111,20000,1/1/2016,credit_card,646.0,0.38060000000000005,591xx,MT,0,0,52548.61
112,1000,1/1/2016,medical,300.0,0.12359999999999999,713xx,LA,0,0,8090.61
113,20000,1/1/2016,other,300.0,0.0,945xx,CA,0,0,0.0
114,6000,1/1/2016,debt_consolidation,300.0,0.24280000000000002,982xx,WA,0,0,24711.7
115,19000,1/1/2016,major_purchase,745.0,0.0075,852xx,AZ,0,0,2533333.33
116,11000,1/1/2016,other,300.0,0.6731999999999999,884xx,NM,0,0,16339.87
117,15000,1/1/2016,credit_card,300.0,0.1565,750xx,TX,0,0,95846.65
118,2500,1/1/2016,debt_consolidation,300.0,0.2175,190xx,PA,0,0,11494.25
119,35000,1/1/2016,debt_consolidation,300.0,0.4866,770xx,TX,0,0,71927.66
120,9775,1/1/2016,credit_card,300.0,0.1932,070xx,NJ,5 years,0,50595.24
121,20000,1/1/2016,home_improvement,300.0,0.0983,064xx,CT,5 years,0,203458.8
122,28000,1/1/2016,debt_consolidation,665.0,0.2846,928xx,CA,0,0,98383.7
123,30000,1/1/2016,major_purchase,300.0,1.0,902xx,CA,0,0,30000.0
124,35000,1/1/2016,home_improvement,300.0,0.20670000000000002,040xx,ME,0,0,169327.53
125,9000,1/1/2016,car,300.0,0.035,060xx,CT,0,0,257142.86
126,25000,1/1/2016,credit_card,300.0,0.5121,917xx,CA,5 years,0,48818.59
127,3000,1/1/2016,debt_consolidation,300.0,0.0705,468xx,IN,0,0,42553.19
128,10000,1/1/2016,debt_consolidation,300.0,0.10369999999999999,891xx,NV,0,0,96432.02
129,8000,1/1/2016,debt_consolidation,300.0,0.265,395xx,MS,0,0,30188.68
130,10000,1/1/2016,debt_consolidation,300.0,0.0834,180xx,PA,0,0,119904.08
131,2000,1/1/2016,debt_consolidation,300.0,0.1189,951xx,CA,5 years,0,16820.86
132,2000,1/1/2016,car,300.0,-0.01,973xx,OR,0,0,-200000.0
133,30000,1/1/2016,major_purchase,300.0,0.046799999999999994,920xx,CA,0,0,641025.64
134,1000,1/1/2016,home_improvement,300.0,0.2627,806xx,CO,0,0,3806.62
135,2500,1/1/2016,debt_consolidation,524.0,0.1499,159xx,PA,0,0,16677.79
136,3000,1/1/2016,debt_consolidation,300.0,0.3325,103xx,NY,0,0,9022.56
137,1000,1/1/2016,other,300.0,0.1041,310xx,GA,0,0,9606.15
138,35000,1/1/2016,home_improvement,300.0,0.0947,320xx,FL,0,0,369588.17
139,5000,1/1/2016,debt_consolidation,300.0,0.0043,956xx,CA,0,0,1162790.7
140,25000,1/1/2016,other,300.0,0.09519999999999999,952xx,CA,5 years,0,262605.04
141,2500,1/1/2016,major_purchase,300.0,0.042,387xx,MS,0,0,59523.81
142,2000,1/1/2016,medical,300.0,0.2441,786xx,TX,5 years,0,8193.36
143,8100,1/1/2016,other,300.0,0.0572,358xx,AL,0,0,141608.39
144,5000,1/1/2016,debt_consolidation,300.0,0.19440000000000002,675xx,KS,0,0,25720.16
145,10000,1/1/2016,debt_consolidation,300.0,0.0187,371xx,TN,0,0,534759.36
146,4000,1/1/2016,debt_consolidation,300.0,0.1354,770xx,TX,0,0,29542.1
147,1500,1/1/2016,moving,300.0,0.0091,970xx,OR,0,0,164835.16
148,1000,1/1/2016,debt_consolidation,300.0,-0.01,344xx,FL,5 years,0,-100000.0
149,7000,1/1/2016,debt_consolidation,300.0,0.0613,492xx,MI,5 years,0,114192.5
150,35000,1/1/2016,debt_consolidation,300.0,0.20879999999999999,775xx,TX,5 years,0,167624.52
151,5000,1/1/2016,home_improvement,300.0,0.26239999999999997,902xx,CA,0,0,19054.88
152,3000,1/1/2016,credit_card,300.0,0.1889,925xx,CA,0,0,15881.42
153,4000,1/1/2016,medical,300.0,0.0576,863xx,AZ,0,0,69444.44
154,25000,1/1/2016,debt_consolidation,300.0,0.2778,920xx,CA,0,0,89992.8
155,1100,1/1/2016,home_improvement,300.0,0.048,875xx,NM,0,0,22916.67
156,2500,1/1/2016,debt_consolidation,300.0,0.2808,298xx,SC,0,0,8903.13
157,2500,1/1/2016,debt_consolidation,300.0,0.1282,754xx,TX,5 years,0,19500.78
158,1250,1/1/2016,other,300.0,0.20329999999999998,231xx,VA,5 years,0,6148.55
159,8000,1/1/2016,debt_consolidation,300.0,0.09,197xx,DE,0,0,88888.89
160,1000,1/1/2016,debt_consolidation,300.0,0.0195,088xx,NJ,0,0,51282.05
161,5000,1/1/2016,debt_consolidation,300.0,0.0012,641xx,MO,0,0,4166666.67
162,20000,1/1/2016,credit_card,300.0,0.33770000000000006,891xx,NV,0,0,59224.16
163,6000,1/1/2016,credit_card,300.0,-0.01,195xx,PA,0,0,-600000.0
164,6000,1/1/2016,debt_consolidation,300.0,0.0368,917xx,CA,0,0,163043.48
165,3000,1/1/2016,car,597.0,0.0461,212xx,MD,0,0,65075.92
166,5000,1/1/2016,other,300.0,0.3395,790xx,TX,0,0,14727.54
167,35000,1/1/2016,credit_card,300.0,-0.01,474xx,IN,5 years,0,-3500000.0
168,15000,1/1/2016,Green loan,300.0,0.2701,018xx,MA,0,0,55534.99
169,3000,1/1/2016,debt_consolidation,300.0,0.256,483xx,MI,0,0,11718.75
170,5000,1/1/2016,other,300.0,0.0326,017xx,MA,5 years,0,153374.23
171,1500,1/1/2016,debt_consolidation,621.0,0.4171,730xx,OK,0,0,3596.26
172,30000,1/1/2016,major_purchase,300.0,0.26839999999999997,391xx,MS,0,0,111773.47
173,2000,1/1/2016,major_purchase,300.0,0.21100000000000002,381xx,TN,0,0,9478.67
174,9500,1/1/2016,debt_consolidation,300.0,0.1886,029xx,RI,0,0,50371.16
175,7000,1/1/2016,Credit card refinancing,300.0,0.1399,117xx,NY,4 years,0,50035.74
176,15000,1/1/2016,credit_card,300.0,0.2583,361xx,AL,0,0,58072.01
177,5000,1/1/2016,debt_consolidation,300.0,0.2747,361xx,AL,0,0,18201.67
178,10000,1/1/2016,home_improvement,300.0,0.1726,773xx,TX,0,0,57937.43
179,1000,1/1/2016,other,513.0,0.0739,751xx,TX,0,0,13531.8
180,20000,1/1/2016,credit_card,681.0,0.34759999999999996,035xx,NH,0,0,57537.4
181,10000,1/1/2016,debt_consolidation,300.0,0.20829999999999999,330xx,FL,0,0,48007.68
182,5000,1/1/2016,moving,300.0,0.1349,081xx,NJ,5 years,0,37064.49
183,5000,1/1/2016,debt_consolidation,300.0,0.3477,606xx,IL,0,0,14380.21
184,1000,1/1/2016,major_purchase,300.0,-0.01,982xx,WA,0,0,-100000.0
185,35000,1/1/2016,other,300.0,0.08460000000000001,774xx,TX,0,0,413711.58
186,1000,1/1/2016,major_purchase,300.0,0.8640000000000001,982xx,WA,0,0,1157.41
187,18000,1/1/2016,debt_consolidation,643.0,0.0967,199xx,DE,0,0,186142.71
188,25000,1/1/2016,home_improvement,300.0,0.1898,493xx,MI,0,0,131717.6
189,2000,1/1/2016,major_purchase,300.0,0.1133,721xx,AR,0,0,17652.25
190,15000,1/1/2016,Debt consolidation,300.0,0.228,775xx,TX,2 years,0,65789.47
191,4000,1/1/2016,credit_card,300.0,0.10300000000000001,338xx,FL,0,0,38834.95
192,35000,1/1/2016,debt_consolidation,300.0,-0.01,080xx,NJ,5 years,0,-3500000.0
193,30000,1/1/2016,debt_consolidation,300.0,0.434,286xx,NC,0,0,69124.42
194,20000,1/1/2016,debt_consolidation,662.0,0.0696,342xx,FL,0,0,287356.32
195,30000,1/1/2016,credit_card,300.0,0.43200000000000005,672xx,KS,0,0,69444.44
196,8000,1/1/2016,other,300.0,0.3045,922xx,CA,0,0,26272.58
197,1200,1/1/2016,house,300.0,-0.01,750xx,TX,5 years,0,-120000.0
198,1000,1/1/2016,moving,530.0,0.2263,606xx,IL,0,0,4418.91
199,1500,1/1/2016,medical,300.0,0.0393,314xx,GA,0,0,38167.94
200,5000,1/1/2016,debt_consolidation,300.0,0.47600000000000003,783xx,TX,5 years,0,10504.2
201,1000,1/1/2016,home_improvement,300.0,0.3023,373xx,TN,0,0,3307.97
202,6000,1/1/2016,other,300.0,0.5234000000000001,937xx,CA,0,0,11463.51
203,30000,1/1/2016,other,778.0,0.741,551xx,MN,0,0,40485.83
204,3000,1/1/2016,debt_consolidation,300.0,0.056900000000000006,074xx,NJ,5 years,0,52724.08
205,35000,1/1/2016,debt_consolidation,628.0,0.40130000000000005,294xx,SC,0,0,87216.55
206,15000,1/1/2016,debt_consolidation,300.0,0.1986,316xx,GA,0,0,75528.7
207,6000,1/1/2016,debt_consolidation,300.0,0.0192,025xx,MA,0,0,312500.0
208,10000,1/1/2016,home_improvement,300.0,0.0886,911xx,CA,5 years,0,112866.82
209,1200,1/1/2016,debt_consolidation,300.0,0.0088,207xx,MD,0,0,136363.64
210,1200,1/1/2016,medical,569.0,0.0040999999999999995,840xx,UT,0,0,292682.93
211,10000,1/1/2016,debt_consolidation,300.0,0.1716,927xx,CA,0,0,58275.06
212,10000,1/1/2016,Business Loan,300.0,-0.01,480xx,MI,0,0,-1000000.0
213,9000,1/1/2016,debt_consolidation,300.0,0.12240000000000001,797xx,TX,0,0,73529.41
214,2000,1/1/2016,moving,300.0,0.2687,973xx,OR,0,0,7443.25
215,35000,1/1/2016,other,300.0,-0.01,079xx,NJ,0,0,-3500000.0
216,20000,1/1/2016,debt_consolidation,300.0,0.34759999999999996,032xx,NH,0,0,57537.4
217,1000,1/1/2016,moving,300.0,0.13119999999999998,240xx,VA,0,0,7621.95
218,10000,1/1/2016,debt_consolidation,658.0,0.3157,272xx,NC,0,0,31675.64
219,35000,1/1/2016,house,583.0,0.0037,217xx,MD,0,0,9459459.46
220,5000,1/1/2016,credit_card,300.0,0.04650000000000001,335xx,FL,5 years,0,107526.88
221,15000,1/1/2016,debt_consolidation,300.0,0.2825,775xx,TX,0,0,53097.35
222,3500,1/1/2016,moving,300.0,0.0206,945xx,CA,0,0,169902.91
223,1700,1/1/2016,debt_consolidation,707.0,0.2148,086xx,NJ,0,0,7914.34
224,1000,1/1/2016,major_purchase,300.0,4.5234,717xx,AR,0,0,221.07
225,2000,1/1/2016,other,300.0,0.1035,206xx,MD,5 years,0,19323.67
226,13000,1/1/2016,credit_card,300.0,0.2463,916xx,CA,0,0,52781.16
227,35000,1/1/2016,Credit card refinancing,681.0,0.2875,294xx,SC,1 year,0,121739.13
228,5000,1/1/2016,debt_consolidation,300.0,2.22,982xx,WA,0,0,2252.25
229,20450,1/1/2016,debt_consolidation,700.0,0.1743,284xx,NC,0,0,117326.45
230,11500,1/1/2016,credit_card,300.0,0.36560000000000004,195xx,PA,0,0,31455.14
231,1000,1/1/2016,other,300.0,0.1128,207xx,MD,0,0,8865.25
232,5000,1/1/2016,debt_consolidation,606.0,0.0264,907xx,CA,0,0,189393.94
233,20000,1/1/2016,Home improvement,300.0,0.2443,754xx,TX,10,0,81866.56
234,35000,1/1/2016,medical,300.0,0.0297,915xx,CA,5 years,0,1178451.18
235,30000,1/1/2016,debt_consolidation,300.0,0.3582,301xx,GA,0,0,83752.09
236,1000,1/1/2016,other,300.0,-0.01,981xx,WA,5 years,0,-100000.0
237,5500,1/1/2016,credit_card,300.0,0.2733,038xx,NH,0,0,20124.41
238,6000,1/1/2016,small_business,300.0,0.45039999999999997,716xx,AR,0,0,13321.49
239,2000,1/1/2016,other,300.0,0.0735,017xx,MA,0,0,27210.88
240,2000,1/1/2016,debt_consolidation,300.0,0.0043,926xx,CA,5 years,0,465116.28
241,5000,1/1/2016,debt_consolidation,300.0,0.2803,290xx,SC,0,0,17838.03
242,20000,1/1/2016,credit_card,300.0,0.5489,431xx,OH,0,0,36436.51
243,10000,1/1/2016,debt_consolidation,300.0,0.2494,240xx,VA,0,0,40096.23
244,27000,1/1/2016,debt_consolidation,300.0,0.166,126xx,NY,0,0,162650.6
245,7000,1/1/2016,debt_consolidation,707.0,0.1659,288xx,NC,0,0,42194.09
246,20000,1/1/2016,debt_consolidation,300.0,0.0755,313xx,GA,0,0,264900.66
247,10000,1/1/2016,debt_consolidation,300.0,0.0762,945xx,CA,0,0,131233.6
248,10000,1/1/2016,credit_card,300.0,0.2775,863xx,AZ,0,0,36036.04
249,4000,1/1/2016,Credit card refinancing,300.0,0.1503,015xx,MA,1 year,0,26613.44
250,15000,1/1/2016,debt_consolidation,300.0,0.132,225xx,VA,5 years,0,113636.36
251,18000,1/1/2016,credit_card,300.0,0.25579999999999997,633xx,MO,0,0,70367.47
252,2575,1/1/2016,credit_card,300.0,0.0888,328xx,FL,0,0,28997.75
253,5000,1/1/2016,other,300.0,0.2811,046xx,ME,0,0,17787.26
254,12000,1/1/2016,debt_consolidation,640.0,0.2432,010xx,MA,0,0,49342.11
255,30000,1/1/2016,debt_consolidation,300.0,0.47509999999999997,197xx,DE,0,0,63144.6
256,6000,1/1/2016,other,300.0,0.36229999999999996,770xx,TX,0,0,16560.86
257,5000,1/1/2016,debt_consolidation,300.0,0.1225,331xx,FL,5 years,0,40816.33
258,25000,1/1/2016,home_improvement,300.0,0.45,208xx,MD,5 years,0,55555.56
259,8000,1/1/2016,debt_consolidation,300.0,0.0915,212xx,MD,0,0,87431.69
260,8000,1/1/2016,credit_card,300.0,0.2659,300xx,GA,5 years,0,30086.5
261,3000,1/1/2016,debt_consolidation,515.0,0.3039,435xx,OH,0,0,9871.67
262,20000,1/1/2016,major_purchase,300.0,0.0031,297xx,SC,0,0,6451612.9
263,1000,1/1/2016,other,300.0,-0.01,847xx,UT,0,0,-100000.0
264,3000,1/1/2016,other,300.0,-0.01,315xx,GA,0,0,-300000.0
265,35000,1/1/2016,debt_consolidation,300.0,1.2927000000000002,339xx,FL,0,0,27075.11
266,20000,1/1/2016,home_improvement,300.0,0.012199999999999999,327xx,FL,0,0,1639344.26
267,26000,1/1/2016,home_improvement,300.0,1.3007,770xx,TX,0,0,19989.24
268,20000,1/1/2016,debt_consolidation,300.0,0.31920000000000004,302xx,GA,0,0,62656.64
269,5000,1/1/2016,Credit card refinancing,300.0,0.0138,784xx,TX,10,0,362318.84
270,20000,1/1/2016,car,300.0,-0.01,015xx,MA,5 years,0,-2000000.0
271,15000,1/1/2016,debt_consolidation,300.0,0.024,209xx,MD,0,0,625000.0
272,2500,1/1/2016,other,655.0,0.1519,958xx,CA,0,0,16458.2
273,5000,1/1/2016,debt_consolidation,300.0,0.1128,275xx,NC,0,0,44326.24
274,4000,1/1/2016,other,300.0,0.5702,454xx,OH,0,0,7015.08
275,5000,1/1/2016,debt_consolidation,300.0,0.1334,378xx,TN,0,0,37481.26
276,1000,1/1/2016,other,300.0,0.015300000000000001,233xx,VA,0,0,65359.48
277,20000,1/1/2016,debt_consolidation,300.0,0.0159,982xx,WA,0,0,1257861.64
278,2500,1/1/2016,car,691.0,0.02,178xx,PA,0,0,125000.0
279,14000,1/1/2016,other,300.0,0.1549,299xx,SC,0,0,90380.89
280,5000,1/1/2016,debt_consolidation,300.0,0.0892,761xx,TX,0,0,56053.81
281,10000,1/1/2016,debt_consolidation,554.0,0.2408,302xx,GA,0,0,41528.24
282,10000,1/1/2016,credit_card,300.0,0.2564,082xx,NJ,5 years,0,39001.56
283,5000,1/1/2016,other,300.0,0.046799999999999994,439xx,OH,0,0,106837.61
284,15000,1/1/2016,debt_consolidation,645.0,0.42479999999999996,347xx,FL,0,0,35310.73
285,5000,1/1/2016,debt_consolidation,300.0,0.1435,292xx,SC,0,0,34843.21
286,7000,1/1/2016,debt_consolidation,300.0,0.1805,441xx,OH,0,0,38781.16
287,15000,1/1/2016,debt_consolidation,300.0,0.46619999999999995,296xx,SC,5 years,0,32175.03
288,9600,1/1/2016,debt_consolidation,300.0,0.3397,945xx,CA,0,0,28260.23
289,14900,1/1/2016,debt_consolidation,300.0,0.24850000000000003,010xx,MA,0,0,59959.76
290,35000,1/1/2016,debt_consolidation,300.0,0.23190000000000002,381xx,TN,0,0,150927.12
291,10000,1/1/2016,home_improvement,300.0,0.4311,381xx,TN,0,0,23196.47
292,10000,1/1/2016,debt_consolidation,561.0,0.0,210xx,MD,0,0,0.0
293,1800,1/1/2016,debt_consolidation,300.0,0.15560000000000002,010xx,MA,0,0,11568.12
294,10000,1/1/2016,debt_consolidation,300.0,0.3945,210xx,MD,0,0,25348.54
295,30000,1/1/2016,credit_card,300.0,0.6949,360xx,AL,0,0,43171.68
296,7000,1/1/2016,debt_consolidation,545.0,0.2107,337xx,FL,0,0,33222.59
297,30000,1/1/2016,other,300.0,0.1481,770xx,TX,5 years,0,202565.83
298,10000,1/1/2016,Home improvement,300.0,0.0674,926xx,CA,10,0,148367.95
299,18000,1/1/2016,credit_card,300.0,0.19940000000000002,153xx,PA,0,0,90270.81
300,7500,1/1/2016,credit_card,300.0,0.095,494xx,MI,0,0,78947.37
301,15000,1/1/2016,debt_consolidation,300.0,0.40619999999999995,235xx,VA,0,0,36927.62
302,3000,1/1/2016,moving,300.0,0.015600000000000001,285xx,NC,0,0,192307.69
303,35000,1/1/2016,other,300.0,0.3429,333xx,FL,5 years,0,102070.57
304,5500,1/1/2016,debt_consolidation,300.0,0.19949999999999998,104xx,NY,0,0,27568.92
305,8800,1/1/2016,debt_consolidation,300.0,0.4395,083xx,NJ,0,0,20022.75
306,10000,1/1/2016,small_business,300.0,0.0521,481xx,MI,5 years,0,191938.58
307,25000,1/1/2016,debt_consolidation,300.0,0.5565,770xx,TX,5 years,0,44923.63
308,6000,1/1/2016,Credit card refinancing,300.0,0.0799,347xx,FL,10,0,75093.87
309,15000,1/1/2016,debt_consolidation,300.0,0.42969999999999997,759xx,TX,0,0,34908.08
310,10000,1/1/2016,major_purchase,300.0,0.0668,451xx,OH,0,0,149700.6
311,30000,1/1/2016,debt_consolidation,300.0,0.45280000000000004,017xx,MA,0,0,66254.42
312,2500,1/1/2016,other,300.0,0.2746,604xx,IL,5 years,0,9104.15
