,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,adjusted_int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,State,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,FicoScore,derived_emp_length,UPB,RiskScorePercent
10,94360756,101309466,25900,25900,25900, 60 months,0.25,25.0,767.66,10+ years,MORTGAGE,54000.0,Verified,16-Dec,Current,credit_card,OH,35,20.0,0,Jan-85,1,56.0,,9,0,27346,64.50%,26,w,25460.38,25460.38,1443.63,1443.63,439.62,1004.01,0.0,0,0,17-Mar,767.66,17-Apr,17-Mar,0,56.0,INDIVIDUAL,,,0,0,166140,0,1,0,1,18.0,4639,61.0,0,3,15840,64,42400,0,1,4,5,18460,4154.0,86.8,0,0,158.0,382,14,14,3,15.0,56.0,2.0,56.0,0,3,3,4,7,10,7,13,3,9,0.0,0,0,0,96.2,50.0,0,0,191665,31985,31500,7665,43.95,10,5.36371408393116,50.0
11,96349353,103461066,39000,39000,39000, 36 months,0.16,16.0,1370.94,10+ years,MORTGAGE,78000.0,Source Verified,16-Dec,Current,debt_consolidation,OH,35,33.14,0,May-00,0,24.0,,17,0,44645,52.30%,29,w,37286.13,37286.13,2655.27,2655.27,1713.87,941.4,0.0,0,0,17-Mar,1370.94,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,71941,1,2,1,1,5.0,27296,63.0,0,2,15238,56,85300,0,3,3,3,4232,15901.0,69.5,0,0,169.0,199,18,5,1,29.0,,5.0,,0,4,10,6,6,7,15,21,10,17,0.0,0,0,1,100.0,66.7,0,0,128759,71941,52200,43459,44.95,10,6.647304774542451,25.0
12,96453160,103570872,15000,15000,15000, 36 months,0.2,20.0,557.38,< 1 year,RENT,78200.0,Verified,16-Dec,Current,debt_consolidation,NY,32,10.93,0,3-Oct,0,24.0,,9,0,13846,79.60%,26,f,14379.87,14379.87,1073.11,1073.11,620.13,452.98,0.0,0,0,17-Mar,557.38,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,129058,0,5,0,2,17.0,115212,107.0,1,1,6084,98,17400,0,3,0,3,14340,54.0,99.6,0,0,120.0,158,10,10,0,10.0,,17.0,,0,3,3,3,4,13,4,12,3,9,0.0,0,0,1,100.0,100.0,0,0,120048,129058,13900,102648,43.75,0,6.9440849081025116,25.0
13,95845949,102907669,20000,20000,20000, 36 months,0.17,17.0,712.96,10+ years,MORTGAGE,63000.0,Not Verified,16-Dec,Current,debt_consolidation,MA,21,29.03,1,Mar-90,2,23.0,71.0,15,1,18577,65%,36,w,19134.33,19134.33,1378.73,1378.73,865.67,513.06,0.0,0,0,17-Mar,712.96,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,62850,2,3,1,3,4.0,44273,80.0,2,7,6549,75,28600,1,4,4,10,4489,5028.0,76.1,0,0,164.0,321,1,1,2,8.0,,1.0,23.0,0,5,9,5,12,9,12,25,9,15,0.0,0,0,3,92.0,60.0,1,0,83883,62850,21000,55283,43.75,10,6.718018720748829,50.0
14,95147276,102150007,4500,4500,4500, 36 months,0.13,13.0,151.06,6 years,RENT,32000.0,Not Verified,16-Dec,Current,credit_card,WI,49,29.93,0,11-Apr,1,24.0,,7,0,6459,64%,14,w,4292.33,4292.33,294.16,294.16,207.67,86.49,0.0,0,0,17-Mar,151.06,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,624,25255,2,2,1,3,5.0,18796,63.0,2,3,1925,64,10100,3,8,2,6,3608,1575.0,55.0,0,0,68.0,59,3,3,0,17.0,,5.0,,0,1,5,1,1,8,5,6,5,7,0.0,0,0,3,100.0,0.0,0,0,39781,25255,3500,29681,42.75,6,6.4108155255124295,25.0
15,96419273,103530986,21500,21500,21500, 36 months,0.11,11.0,707.86,10+ years,MORTGAGE,125000.0,Not Verified,16-Dec,Current,debt_consolidation,OK,36,20.18,0,Dec-96,0,24.0,,11,0,45947,92.40%,23,w,20487.64,20487.64,1381.71,1381.71,1012.36,369.35,0.0,0,0,17-Mar,707.86,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,310154,1,2,0,1,16.0,20900,40.0,0,0,14787,66,49700,0,3,3,2,34462,1653.0,96.5,0,0,163.0,240,36,4,4,36.0,,4.0,,0,5,5,6,7,8,8,11,5,11,0.0,0,0,1,100.0,100.0,0,0,346552,66847,47600,52052,44.95,10,6.315163709529907,25.0
16,95666486,102728208,11100,11100,11100, 36 months,0.05,5.0,334.28,3 years,RENT,60000.0,Not Verified,16-Dec,Current,credit_card,CA,5,18.91,0,2-Aug,0,24.0,,14,0,22233,34.40%,23,w,9977.35,9977.35,1210.36,1210.36,1122.65,87.71,0.0,0,0,17-Mar,584.28,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,67344,0,4,0,0,62.0,45111,115.0,0,0,6667,65,64700,0,0,0,0,4810,37285.0,37.2,0,0,172.0,170,29,29,0,29.0,,,,2,7,8,7,7,8,10,15,8,14,0.0,0,0,0,91.3,0.0,0,0,104060,67344,59400,39360,44.95,3,10.816125860373647,50.0
17,95180015,102182759,13400,13400,13400, 36 months,0.13,13.0,454.67,5 years,MORTGAGE,71000.0,Not Verified,16-Dec,Current,home_improvement,CA,5,32.94,0,Dec-78,0,79.0,76.0,10,1,11597,46.60%,28,w,12788.52,12788.52,884.23,884.23,611.48,272.75,0.0,0,0,17-Mar,454.67,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,229517,0,2,0,1,15.0,35597,65.0,0,1,1996,59,24900,0,2,5,3,22952,8845.0,29.2,0,0,127.0,456,16,15,3,44.0,79.0,5.0,79.0,0,3,5,4,10,6,7,19,5,10,0.0,0,0,0,95.5,25.0,1,0,265900,47194,12500,55000,44.95,5,6.465769455822118,50.0
18,96419201,103530913,13000,13000,13000, 36 months,0.05,5.0,391.5,10+ years,MORTGAGE,101800.0,Not Verified,16-Dec,Current,credit_card,IN,14,18.91,0,Jul-97,0,24.0,79.0,8,3,21213,57.50%,21,w,12330.79,12330.79,773.39,773.39,669.21,104.18,0.0,0,0,17-Mar,391.5,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,168092,0,2,0,2,14.0,20845,40.0,2,3,2482,47,36900,1,2,2,5,21012,718.0,77.6,0,0,142.0,233,11,11,3,11.0,,11.0,,0,1,4,1,4,7,5,11,4,8,0.0,0,0,2,100.0,100.0,0,0,244965,42058,3200,52184,43.75,10,5.899412348317179,25.0
19,96419283,103530996,14400,14400,14400, 60 months,0.08,8.0,291.92,9 years,MORTGAGE,135000.0,Not Verified,16-Dec,Current,home_improvement,NJ,30,6.6,1,Oct-99,0,11.0,,15,0,8613,37.40%,30,w,14006.61,14006.61,567.86,567.86,393.39,174.47,0.0,0,0,17-Mar,291.92,17-Apr,17-Mar,0,11.0,INDIVIDUAL,,,0,0,111622,1,7,1,2,4.0,103009,97.0,0,0,4136,81,23000,0,0,1,2,7441,12987.0,39.9,1,0,130.0,206,65,4,1,65.0,28.0,6.0,28.0,1,4,4,7,8,17,8,11,4,15,0.0,0,1,1,88.9,42.9,0,0,123895,111622,21600,100895,44.95,9,3.8907568791600906,50.0
20,96191765,103299614,9300,9300,9300, 36 months,0.08,8.0,292.46,9 years,MORTGAGE,62000.0,Source Verified,16-Dec,Current,debt_consolidation,MI,22,16.12,0,3-Jun,1,71.0,99.0,14,1,6837,45%,25,w,8841.23,8841.23,574.28,574.28,458.77,115.51,0.0,0,0,17-Mar,292.46,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,260021,1,1,1,1,10.0,30158,90.0,1,3,3885,76,15200,3,1,8,5,20002,467.0,90.7,0,0,135.0,162,6,6,1,24.0,,6.0,,0,2,10,2,4,5,12,19,10,14,0.0,0,0,2,96.0,50.0,1,0,279452,36995,5000,33608,42.75,9,6.096654275092937,50.0
21,96409250,103520963,8000,8000,8000, 36 months,0.08,8.0,250.66,10+ years,MORTGAGE,57000.0,Source Verified,16-Dec,Current,credit_card,KS,16,28.45,3,Oct-96,0,7.0,,7,0,5938,36.70%,34,w,7603.9,7603.9,492.44,492.44,396.1,96.34,0.0,0,0,17-Mar,250.66,17-Apr,17-Mar,0,21.0,INDIVIDUAL,,,0,0,146207,0,3,0,1,19.0,65964,30.0,1,1,2480,32,16200,0,2,1,2,20887,20.0,99.2,0,0,242.0,227,9,9,3,9.0,29.0,9.0,26.0,2,1,3,1,10,16,3,15,3,7,0.0,0,1,1,76.5,100.0,0,0,185355,71902,2500,88422,44.95,10,6.077825818406424,50.0
22,96309331,103421043,12000,12000,12000, 36 months,0.17,17.0,427.78,n/a,RENT,30000.0,Not Verified,16-Dec,Current,credit_card,WA,47,9.26,0,Nov-96,0,24.0,72.0,3,3,8862,38.20%,5,w,11480.59,11480.59,827.24,827.24,519.41,307.83,0.0,0,0,17-Mar,427.78,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,8862,1,0,0,0,1.0,0,,2,2,8617,38,23200,0,0,2,2,2954,14338.0,38.2,0,0,241.0,241,0,0,0,0.0,,10.0,,0,3,3,3,4,0,3,5,3,3,0.0,0,0,2,100.0,0.0,0,3,23200,8862,23200,0,43.75,n/a,6.719752986105468,25.0
23,94139841,101035615,35000,35000,35000, 36 months,0.13,13.0,1187.57,10+ years,MORTGAGE,93953.0,Verified,16-Dec,Current,debt_consolidation,NY,32,19.62,0,Dec-94,0,47.0,,19,0,29268,71.60%,48,w,33402.85,33402.85,2309.56,2309.56,1597.15,712.41,0.0,0,0,17-Mar,1187.57,17-Apr,17-Mar,0,63.0,INDIVIDUAL,,,0,0,292976,0,3,0,0,35.0,7342,26.0,0,0,9029,53,40900,0,0,0,0,19532,1716.0,92.2,0,0,145.0,263,39,35,3,137.0,67.0,14.0,67.0,4,3,9,3,10,10,15,35,9,19,0.0,0,0,0,76.1,100.0,0,0,363894,36610,22000,27994,44.95,10,6.4657948531264875,50.0
24,95984792,103078513,20000,20000,20000, 36 months,0.07,7.0,617.46,10+ years,MORTGAGE,130000.0,Not Verified,16-Dec,Current,credit_card,CA,5,14.5,0,Jun-92,1,24.0,,7,0,4999,10.60%,12,w,18995.16,18995.16,1215.5,1215.5,1004.84,210.66,0.0,0,0,17-Mar,617.46,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,464727,1,2,1,2,1.0,60410,61.0,0,0,2,30,47100,1,2,3,3,77455,42098.0,0.0,0,0,15.0,294,112,1,3,112.0,,1.0,,0,1,2,3,4,2,4,7,2,7,0.0,0,0,1,100.0,0.0,0,0,535935,65409,42100,71835,32.25,10,6.011875309252845,25.0
25,96269227,103380940,6025,6025,6025, 36 months,0.14,14.0,205.9,< 1 year,RENT,80000.0,Source Verified,16-Dec,Current,major_purchase,MA,21,16.94,0,7-Nov,1,36.0,,9,0,12546,85.30%,14,w,5752.1,5752.1,400.09,400.09,272.9,127.19,0.0,0,0,17-Mar,205.9,17-Apr,17-Mar,0,49.0,INDIVIDUAL,,,0,0,70091,1,5,0,1,16.0,57545,84.0,1,2,6698,84,14700,4,0,3,3,7788,628.0,93.9,0,0,109.0,62,5,5,0,5.0,,0.0,,3,3,4,3,3,10,4,4,4,9,0.0,0,0,1,58.3,100.0,0,0,85371,70091,10300,70671,42.75,0,6.501950585175553,50.0
26,96094605,103188321,12000,12000,12000, 60 months,0.13,13.0,271.45,3 years,MORTGAGE,122496.0,Not Verified,16-Dec,Fully Paid,other,OR,37,26.72,1,Oct-92,0,19.0,,15,0,43219,15.50%,28,w,0.0,0.0,12005.7788,12005.78,12000.0,5.78,0.0,0,0,17-Jan,12027.01,,17-Mar,0,,INDIVIDUAL,,,0,297,351668,0,7,3,6,11.0,308449,70.0,0,1,937,54,58200,0,1,0,7,23445,9163.0,19.9,0,0,129.0,290,22,11,2,30.0,19.0,18.0,19.0,0,1,3,4,6,14,8,12,3,15,0.0,0,0,3,100.0,0.0,0,0,373171,351668,10100,314971,44.95,3,100.0,0.0
27,95639092,102688844,23000,23000,23000, 60 months,0.23,23.0,644.95,10+ years,RENT,80000.0,Not Verified,16-Dec,Current,debt_consolidation,TX,43,28.14,0,Jun-99,0,33.0,,9,0,26805,41.20%,20,w,22577.84,22577.84,1217.26,1217.26,422.16,795.1,0.0,0,0,17-Mar,644.95,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,2027,42598,0,2,1,1,12.0,15793,85.0,0,0,10919,55,49600,0,0,0,1,4733,21718.0,40.9,0,0,163.0,210,30,12,0,33.0,55.0,,33.0,0,5,6,6,12,5,7,15,6,9,0.0,0,0,1,89.5,33.3,0,0,109353,42598,47600,59753,46.25,10,5.114734807094226,50.0
28,95091704,102094466,10500,10500,10500, 36 months,0.16,16.0,369.1,< 1 year,MORTGAGE,180000.0,Source Verified,16-Dec,Current,debt_consolidation,CT,7,12.43,2,Apr-86,2,10.0,49.0,14,4,6598,66%,24,w,10038.57,10038.57,714.88,714.88,461.43,253.45,0.0,0,0,17-Mar,369.1,17-Apr,17-Mar,0,10.0,INDIVIDUAL,,,0,401,278704,3,4,2,2,5.0,58740,56.0,6,6,2630,60,10000,2,2,8,8,19907,1259.0,79.0,0,0,148.0,368,3,3,3,5.0,62.0,5.0,62.0,7,4,8,4,7,7,8,13,8,13,0.0,0,2,8,70.8,100.0,0,0,323899,67088,6000,76149,42.45,0,6.640625,50.0
29,96198931,103310046,20000,20000,20000, 36 months,0.15,15.0,693.21,2 years,RENT,59200.0,Not Verified,16-Dec,Current,major_purchase,FL,9,10.56,1,9-Oct,0,0.0,,16,0,3388,12.80%,17,w,19107.71,19107.71,1344.78,1344.78,892.29,452.49,0.0,0,0,17-Mar,693.21,17-Apr,17-Mar,0,,INDIVIDUAL,,,1,500,263533,0,5,0,1,21.0,260145,39.0,1,3,3086,29,26400,0,0,1,4,17569,9214.0,25.1,0,12,64.0,86,11,11,0,38.0,44.0,11.0,0.0,0,1,4,3,3,6,11,11,4,15,0.0,1,0,1,88.2,0.0,0,0,264642,263533,12300,238242,43.75,2,6.571805779668476,75.0
30,95547393,102597105,25075,25075,25075, 60 months,0.15,15.0,596.41,10+ years,MORTGAGE,64000.0,Not Verified,16-Dec,Fully Paid,other,NC,33,10.78,0,3-Oct,1,24.0,,23,0,8922,9.20%,38,w,0.0,0.0,25418.61284,25418.61,25075.0,343.61,0.0,0,0,17-Feb,25470.81,,17-Mar,0,,INDIVIDUAL,,,0,216,169781,2,1,1,1,12.0,6904,69.0,4,7,3828,15,96900,0,0,1,8,7717,76844.0,9.4,0,0,127.0,158,2,2,5,2.0,,2.0,,0,8,9,16,19,6,21,27,9,23,0.0,0,0,5,100.0,0.0,0,0,271466,15826,84800,10000,45.25,10,100.0,0.0
31,95253435,102256186,20000,20000,20000, 36 months,0.14,14.0,683.46,10+ years,RENT,72000.0,Source Verified,16-Dec,Fully Paid,credit_card,AL,1,6.13,0,Nov-96,0,24.0,,14,0,19938,36.70%,19,f,0.0,0.0,20331.05686,20331.06,20000.0,331.06,0.0,0,0,17-Feb,20369.92,,17-Feb,0,,INDIVIDUAL,,,0,0,19938,4,0,0,1,18.0,0,,6,8,9609,37,54300,0,2,0,9,1534,26575.0,42.5,0,0,69.0,241,1,1,0,5.0,,22.0,,0,6,8,9,11,2,14,17,8,14,0.0,0,0,6,100.0,25.0,0,0,54300,19938,46200,0,46.25,10,100.0,0.0
32,96239201,103350914,6400,6400,6400, 36 months,0.13,13.0,217.16,4 years,RENT,35000.0,Source Verified,16-Dec,Current,debt_consolidation,MN,23,6.62,0,Nov-96,2,24.0,74.0,8,2,3870,34.20%,24,w,6107.94,6107.94,422.33,422.33,292.06,130.27,0.0,0,0,17-Mar,217.16,17-Apr,17-Mar,0,,INDIVIDUAL,,,0,0,3870,2,0,0,0,1.0,0,,3,7,1972,34,11300,0,0,2,7,484,128.0,93.9,0,0,241.0,241,0,0,0,24.0,,0.0,,0,1,6,1,13,0,8,24,6,8,0.0,0,0,3,100.0,100.0,2,0,11300,3870,2100,0,43.75,4,6.463470669321489,25.0
33,95089283,102092025,21000,21000,21000, 36 months,0.11,11.0,691.4,3 years,RENT,108000.0,Not Verified,16-Dec,Current,debt_consolidation,MS,24,14.22,1,Dec-94,0,10.0,,11,0,5436,24.10%,37,w,20011.17,20011.17,1435.96,1435.96,988.83,447.13,0.0,0,0,17-Mar,691.4,17-Apr,17-Mar,0,10.0,INDIVIDUAL,,,0,0,44663,1,2,2,3,5.0,39227,89.0,1,1,4571,66,22600,1,0,2,4,4466,8529.0,34.9,1,0,58.0,264,9,5,0,9.0,10.0,5.0,10.0,7,1,2,5,17,5,8,31,2,11,0.0,0,1,3,83.3,20.0,0,0,67710,44663,13100,44035,46.25,3,6.691224470763779,50.0
34,96249165,103360877,3600,3600,3600, 36 months,0.11,11.0,118.62,< 1 year,RENT,33600.0,Source Verified,16-Dec,Current,credit_card,CA,5,24.19,1,Jan-94,0,16.0,,21,0,3654,58%,27,w,3430.6,3430.6,231.52,231.52,169.4,62.12,0.0,0,0,17-Mar,118.62,17-Apr,17-Mar,0,16.0,INDIVIDUAL,,,0,0,48567,0,16,0,2,16.0,44913,82.0,0,0,3192,80,6300,0,0,1,2,2698,2646.0,58.0,0,0,85.0,275,29,16,0,52.0,16.0,7.0,16.0,1,2,2,2,5,17,5,10,2,21,0.0,0,1,0,96.3,0.0,0,0,60801,48567,6300,54501,43.75,0,6.309751434034416,50.0
